  PID              START                END PRT  RES PRES REF SHD FLAG TP PATH
10640        0x80582a000        0x80582d000 rw-    3    0   1   0 C--- vn /usr/local/lib/php/20170718/phar.so
10640        0x80582d000        0x805834000 r-x    7    9   2   1 CN-- vn /usr/local/lib/php/20170718/xmlreader.so
10640        0x805834000        0x805a34000 ---    0    0   0   0 CN-- --
10640        0x805a34000        0x805a35000 rw-    1    0   1   0 C--- vn /usr/local/lib/php/20170718/xmlreader.so
10640        0x805a35000        0x80da35000 rw-  355  380   2   0 ---- df
10640        0x80dc00000        0x80de00000 rw-   25  380   2   0 ---- df
10640     0x7fffdfffe000     0x7fffdffff000 ---    0    0   0   0 ---- --
10640     0x7fffdffff000     0x7ffffffdf000 ---    0    0   0   0 ---- --
10640     0x7ffffffdf000     0x7ffffffff000 rwx    4    4   1   0 ---D df
10640     0x7ffffffff000     0x800000000000 r-x    1    1  43   0 ---- ph
